NUM. ORDEM,NOME,DATA NASCIMENTO,IDADE,FAIXA,GÊNERO,ESTADO CIVIL,CIDADE,Bairro,Profissão,FILHOS,CPF,NPS,Tipo Cliente,pofem29633@1heizi.com
83,ALISSON DANTAS,7/31/1966,55,maior que 50 anos,MASCULINO,CASADO,BAYEUX,Jardim São Severino,Promotor de Vendas,3,99083,4,,pofem29633@1heizi.com
93,EULALIA COSTA,1/23/1967,55,maior que 50 anos,FEMININO,SOLTEIRO,BAYEUX,Comercial Norte,aposentado,0,99093,0,,pofem29633@1heizi.com
145,ACETIDES Carvalho,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,BAYEUX,Imaculada,aposentado,1,,3,,pofem29633@1heizi.com
202,ACENO Araújo,7/2/1978,43,31 a 50 anos,MASCULINO,CASADO,BAYEUX,Centro,Administração Pública,0,,7,,pofem29633@1heizi.com
213,ACHILES Oliveira,3/20/1973,48,31 a 50 anos,MASCULINO,CASADO,BAYEUX,Jardim São Severino,Vendedor (a),1,,3,,pofem29633@1heizi.com
223,ACER Fernandes,7/1/1969,52,maior que 50 anos,MASCULINO,CASADO,BAYEUX,Comercial Norte,Processos Gerenciais,2,,6,,pofem29633@1heizi.com
228,ACHILLES CUNHA,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,BAYEUX,Tambay,aposentado,1,,6,,pofem29633@1heizi.com
241,ACENILDO Almeida,8/1/1962,59,maior que 50 anos,MASCULINO,CASADO,BAYEUX,Alto da Boa Vista,Personal Treiner,1,,7,,pofem29633@1heizi.com
243,ACHILLES GAUDINO,6/14/1961,60,maior que 50 anos,MASCULINO,SOLTEIRO,BAYEUX,São Bento,aposentado,0,,0,,pofem29633@1heizi.com
248,ACHILLE MENDES JÚNIOR,11/8/1959,62,maior que 50 anos,MASCULINO,SOLTEIRO,BAYEUX,Rio do Meio,aposentado,0,,8,,pofem29633@1heizi.com
303,289 Lima,8/3/1994,27,18 a 30 anos,MASCULINO,SOLTEIRO,BAYEUX,Brasília,Estudante,0,,10,,pofem29633@1heizi.com
308,ACHILIS DORES SANTOS,7/20/1990,31,31 a 50 anos,MASCULINO,SOLTEIRO,BAYEUX,Mário Andreazza,Vendedor (a),0,,3,,pofem29633@1heizi.com
325,ACENILTON Nascimento,6/16/1977,44,31 a 50 anos,MASCULINO,SOLTEIRO,BAYEUX,Baralho,Vendedor (a),0,,5,,pofem29633@1heizi.com
402,ACHILA Gomes,1/3/1996,25,18 a 30 anos,FEMININO,SOLTEIRO,BAYEUX,Jardim Aeroporto,Oftálmica,0,,3,,pofem29633@1heizi.com
433,ASHLEY GADELHA,12/10/1983,38,31 a 50 anos,FEMININO,SOLTEIRO,BAYEUX,Sesi,Vendedor (a),0,,6,,pofem29633@1heizi.com
483,ASHLEY FIALHO,5/8/1967,54,maior que 50 anos,FEMININO,SOLTEIRO,BAYEUX,Jardim São Vicente,aposentado,0,,10,,pofem29633@1heizi.com
42,Ana Cristina Pontes,3/6/1967,55,maior que 50 anos,FEMININO,SOLTEIRO,CABEDELO,Jardim Camboinha,aposentado,0,99042,9,,pofem29633@1heizi.com
53,ELDER GOMES,8/11/1943,78,maior que 50 anos,MASCULINO,VIÚVO,CABEDELO,Camboinha Centro,aposentado,2,99053,6,,pofem29633@1heizi.com
54,EVELYN MOREIRA BANDEIRA,2/12/1968,54,maior que 50 anos,FEMININO,CASADO,CABEDELO,Centro,Vendedor (a),2,99054,5,,pofem29633@1heizi.com
102,JOÃO VITOR DO NASCIMENTO,5/24/1995,26,18 a 30 anos,MASCULINO,SOLTEIRO,CABEDELO,Jenipapo,Vendedor (a),0,99102,8,,pofem29633@1heizi.com
104,JOSÉ ANCHIETA ALENCAR,11/10/1969,52,maior que 50 anos,MASCULINO,DIVORCIADO,CABEDELO,Novo Bodocongó,Promotor de Vendas,1,99104,5,,pofem29633@1heizi.com
108,JOSÉ VITOR MEDEIROS,5/17/1951,71,maior que 50 anos,MASCULINO,SEPARADO,CABEDELO,Jardim América,Cozinheiro,2,99108,3,,pofem29633@1heizi.com
109,JOSEAN RODRIGUES MENDES,5/14/1996,25,18 a 30 anos,MASCULINO,SOLTEIRO,CABEDELO,Areia Dourada,Estudante,0,99109,5,,pofem29633@1heizi.com
112,LUCIELI ROCHA,4/3/1968,53,maior que 50 anos,FEMININO,CASADO,CABEDELO,Jardim Manguinhos,médico,2,99112,9,,pofem29633@1heizi.com
159,ABIMELEQUE Castro,3/3/1994,27,18 a 30 anos,MASCULINO,CASADO,CABEDELO,Camalau,Bancário,0,,1,,pofem29633@1heizi.com
188,418 Souza,12/25/1982,39,31 a 50 anos,MASCULINO,CASADO,CABEDELO,Jacaré,Gestão de Segurança Privada,1,,9,,pofem29633@1heizi.com
207,ABINADA Cardoso,6/5/1977,44,31 a 50 anos,MASCULINO,CASADO,CABEDELO,Formosa,Ciências Econômicas,2,,4,,pofem29633@1heizi.com
246,ABINADABI Costa,12/26/1960,61,maior que 50 anos,MASCULINO,CASADO,CABEDELO,Jardim América,Bancário,3,,7,,pofem29633@1heizi.com
276,ADIMAR Dias,5/18/1988,33,31 a 50 anos,MASCULINO,DIVORCIADO,CABEDELO,Areia Dourada,Gestão de Seguros,3,,1,,pofem29633@1heizi.com
328,ADINALDO Pereira,12/14/1973,48,31 a 50 anos,MASCULINO,SOLTEIRO,CABEDELO,Jardim Manguinhos,Administração Pública,2,,0,,pofem29633@1heizi.com
343,ABINADAB Silva,7/20/1960,61,maior que 50 anos,MASCULINO,SOLTEIRO,CABEDELO,Intermares,Gestão Pública,3,,10,,pofem29633@1heizi.com
367,ADINAEL Santos,3/22/1988,33,31 a 50 anos,MASCULINO,VIÚVO,CABEDELO,Jardim Brasília,Odontologia,3,,5,,pofem29633@1heizi.com
400,ABIMAELE Cavalcanti,9/6/1996,25,18 a 30 anos,FEMININO,SOLTEIRO,CABEDELO,Amazônia Park,Obstetrícia,2,,8,,pofem29633@1heizi.com
406,ADINAIR Oliveira,6/22/1995,26,18 a 30 anos,FEMININO,CASADO,CABEDELO,Jardim Camboinha,Gestão de Recursos Humanos,0,,10,,pofem29633@1heizi.com
485,ADINA Campos,1/4/1966,56,maior que 50 anos,FEMININO,SOLTEIRO,CABEDELO,Camboinha Centro,aposentado,3,,7,,pofem29633@1heizi.com
6,Henrique Rosas,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Centro,aposentado,0,99006,3,,pofem29633@1heizi.com
9,Ilkymedson Moura,9/19/1930,92,maior que 50 anos,MASCULINO,VIÚVO,CAMPINA_GRANDE,Jenipapo,aposentado,3,99009,1,,pofem29633@1heizi.com
11,Elisom Belo,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Novo Bodocongó,aposentado,0,99011,9,,pofem29633@1heizi.com
12,Walter Araújo,4/25/1978,43,31 a 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Palmeira,Empresário,0,99012,3,,pofem29633@1heizi.com
16,Leonardo Firmino,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Conceição,aposentado,0,99016,3,,pofem29633@1heizi.com
17,Jairo Marques,1/31/1983,38,31 a 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Cuités,professor,0,99017,1,,pofem29633@1heizi.com
19,Everton Pereira,7/31/1968,53,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Monte Santo,aposentado,0,99019,9,,pofem29633@1heizi.com
20,Thais Nóbrega,4/30/1999,22,18 a 30 anos,FEMININO,VIÚVO,CAMPINA_GRANDE,Conceição,médico,2,99020,3,,pofem29633@1heizi.com
